title,source,type,link,skills_taught
Python for Everybody,Coursera,Course,https://www.coursera.org/specializations/python,"Python;Programming;Developer;Data Structures;SQL;Web Scraping"
Google Data Analytics,Coursera,Certification,https://www.coursera.org/professional-certificates/google-data-analytics,"SQL;Tableau;R;Data Analysis;Data Analyst;Spreadsheets;Data Visualization;Business Intelligence"
IBM Full Stack Software Developer,Coursera,Certification,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,"HTML;CSS;JavaScript;React;Node.js;Express.js;DevOps;Cloud Computing;Full Stack;Developer;Backend;Frontend"
Deep Learning Specialization,Coursera,Course,https://www.coursera.org/specializations/deep-learning,"Deep Learning;Neural Networks;TensorFlow;Machine Learning;AI;Python;ML Engineer"
AWS Cloud Practitioner Essentials,AWS,Course,https://aws.amazon.com/training/digital/aws-cloud-practitioner-essentials/,"AWS;Cloud Computing;Cloud Concepts;Infrastructure;DevOps"
The Complete 2024 Web Development Bootcamp,Udemy,Course,https://www.udemy.com/course/the-complete-web-development-bootcamp/,"HTML;CSS;JavaScript;Node.js;React;MongoDB;Web Development;Full Stack;Frontend;Backend"
The Complete Python Pro Bootcamp,Udemy,Course,https://www.udemy.com/course/100-days-of-code/,"Python;Web Development;Automation;Data Science;Machine Learning;Developer"
React - The Complete Guide,Udemy,Course,https://www.udemy.com/course/react-the-complete-guide-2/,"React;JavaScript;Frontend Development;Web Development;UI"
Introduction to SQL,Khan Academy,Course,https://www.khanacademy.org/computing/computer-programming/sql,"SQL;Databases;Data Analysis;Data Analyst"
Figma UI UX Design Essentials,Udemy,Course,https://www.udemy.com/course/figma-ux-ui-design-essentials/,"Figma;UI Design;UX Design;Prototyping;Designer"
CS50's Introduction to Computer Science,HarvardX,Course,https://www.edx.org/course/introduction-computer-science-harvardx-cs50x,"Computer Science;C;Python;SQL;Algorithms;Data Structures;Software Engineer"
Python Tutorial for Beginners,YouTube,YouTube Video,https://www.youtube.com/watch?v=vLqTf2b6G2I,"Python;Programming Fundamentals;Developer"
Learn JavaScript - Full Course for Beginners,YouTube,YouTube Video,https://www.youtube.com/watch?v=PkZNo7MFNFg,"JavaScript;Web Development;Frontend"
Learn React In 30 Minutes,YouTube,YouTube Video,https://www.youtube.com/watch?v=sBws8MSXN7A,"React;Frontend Development;UI"
SQL Tutorial - Full Database Course for Beginners,YouTube,YouTube Video,https://www.youtube.com/watch?v=HXV3zeQKqGY,"SQL;Databases;Data Analyst"